Metric,Value
R2_UP_mean,0.9981138994223349
R2_UP_std,0.00046784442401543103
R2_DOWN_mean,0.9936181774146646
R2_DOWN_std,0.002825620330166918
RMSE_UP_mean,0.025335614980495618
RMSE_DOWN_mean,0.046189706732115504
