Parameter,Mean,Std
dw_min,0.002169607065763316,7.350580943503108e-05
gamma_up,0.4229624474917726,0.0482932426766611
gamma_down,0.44687106607120003,0.08717360163177125
write_noise_std,0.03796791197892917,0.0
dw_min_dtod,0.033879779705257414,0.0
gamma_up_dtod,0.1141785587894313,0.0
gamma_down_dtod,0.19507551114952218,0.0
