Pulse,Actual_Normalized,Model_Normalized,Residual,Actual_Current
0,0.9775910364145659,1.0,-0.022408963585434094,4.418377321603128e-06
1,0.9607843137254901,0.9969482558629403,-0.03616394213745022,4.389051808406647e-06
2,0.9719887955182069,0.9938997638073106,-0.02191096828910366,4.408602150537634e-06
3,0.9663865546218484,0.9908545203675405,-0.0244679657456921,4.39882697947214e-06
4,0.9663865546218484,0.9878125220817529,-0.021425967459904438,4.39882697947214e-06
5,0.9663865546218484,0.9847737654917598,-0.018387210869911352,4.39882697947214e-06
6,0.9607843137254901,0.9817382471430584,-0.020953933417568238,4.389051808406647e-06
7,0.9719887955182069,0.9787059635848271,-0.006717168066620149,4.408602150537634e-06
8,0.9607843137254901,0.9756769113699219,-0.014892597644431738,4.389051808406647e-06
9,0.9719887955182069,0.9726510870548718,-0.0006622915366648607,4.408602150537634e-06
10,0.9607843137254901,0.9696284871998758,-0.008844173474385708,4.389051808406647e-06
11,0.9663865546218484,0.9666091083687983,-0.00022255374694990504,4.39882697947214e-06
12,0.9607843137254901,0.9635929471291653,-0.002808633403675209,4.389051808406647e-06
13,0.9607843137254901,0.9605800000521608,0.00020431367332929273,4.389051808406647e-06
14,0.9663865546218484,0.9575702637126225,0.008816290909225866,4.39882697947214e-06
15,0.9551820728291316,0.9545637346890384,0.0006183381400931554,4.379276637341153e-06
16,0.9663865546218484,0.9515604095635424,0.01482614505830604,4.39882697947214e-06
17,0.9551820728291316,0.9485602849219106,0.006621787907221011,4.379276637341153e-06
18,0.9663865546218484,0.9455633573535577,0.02082319726829074,4.39882697947214e-06
19,0.9551820728291316,0.9425696234515326,0.012612449377598978,4.379276637341153e-06
20,0.9607843137254901,0.9395790798125151,0.02120523391297502,4.389051808406647e-06
21,0.9607843137254901,0.9365917230368114,0.02419259068867874,4.389051808406647e-06
22,0.9551820728291316,0.9336075497283508,0.021574523100780785,4.379276637341153e-06
23,0.9551820728291316,0.9306265564946816,0.024555516334449967,4.379276637341153e-06
24,0.9495798319327731,0.9276487399469673,0.021931091985805784,4.3695014662756595e-06
