Parameter,Value
dw_min,0.002240581058239391
gamma_up,0.4783996813794951
gamma_down,0.5365531730095519
write_noise_std,0.04092590326183556
R2_up,0.9964587947908775
R2_down,0.9942718140142587
RMSE_up,0.03553482277942183
RMSE_down,0.043918708325591256
Current_min,9.67741935483871e-07
Current_max,4.4574780058651025e-06
Avg_up_pulses,1027.6666666666667
Avg_down_pulses,997.0
N_cycles,10.0
N_peaks,10.0
N_valleys,9.0
